학번(개인코드),3R's셈하기점수,KISE-KIT점수,K-WISC점수,SA보드점수-정현,SA보드점수-동훈
13402,25,16,29,5,14.65
13205,24,18,29,8,17.85
13211,24,21,30,5,18.6
13215,15,13,17,5,18.6
13224,22,18,19,15,18.6
13311,3,12,18,5,18.6
13418,24,15,29,3,19.15
13423,22,10,19,20,19.2
13219,19,20,29,18,19.75
13325,18,15,33,8,19.75
13404,21,21,33,18,19.75
13506,24,18,27,8,19.75
13511,24,18,35,7,20.1
13419,24,19,31,26,20.3
23108,22,12,26,22,20.7
13513,20,19,28,11,20.9
13524,20,19,32,18,20.95
13420,25,21,37,34,21.45
23109,23,16,29,42,21.65
13212,23,14,31,7,22
13401,24,13,33,25,22.55
13516,24,18,28,28,22.75
23107,0,19,29,33,22.75
13621,23,22,33,4,22.9
13625,25,23,19,4,22.9
13421,25,17,31,25,23.15
13304,25,22,38,36,23.3
13323,22,19,36,36,23.3
13406,25,16,29,8,23.7
23103,25,17,29,36,23.9
13603,24,22,38,7,24.05
13613,25,13,38,17,24.05
13316,25,19,37,20,24.6
13620,24,17,28,15,24.6
13626,23,21,33,15,24.6
13314,20,15,35,11,24.85
13214,25,24,33,32,25
13403,25,22,28,7,25
23105,22,22,36,37,25
