학번(개인코드),3R's셈하기점수,KISE-KIT점수,K-WISC점수,SA보드 해결카드,SA보드 미해결카드,목표카드 해결 가중치,태도 가중치
13201,23,22,35,5,1,1,0
13202,22,17,29,7,0,1,0
13203,24,21,32,10,1,0,0
13204,22,14,30,6,1,0,0
13205,24,18,29,3,5,0,0
13206,25,22,28,8,0,1,0
13207,25,15,33,9,1,1,0
13208,24,22,38,7,2,0,0
13209,24,18,34,5,0,1,0
13210,24,22,38,7,2,0,0
13211,24,21,30,3,2,0,0
13212,23,14,31,5,2,0,0
13213,25,19,34,7,0,1,0
13214,25,24,33,5,2,1,0
13215,15,13,17,3,2,0,0
13216,23,23,37,9,2,0,0
13217,24,19,34,9,1,1,0
13218,24,19,35,6,0,0,0
13219,19,20,29,5,3,0,0
13220,23,19,32,10,1,0,0
13221,25,19,36,7,0,1,0
13222,23,21,35,7,1,0,0
13223,24,20,31,9,0,1,0
13224,22,18,19,3,2,0,0
13225,25,21,27,7,0,1,0
13226,22,16,31,10,0,1,0
13301,23,18,34,9,0,0,0
13302,18,11,39,5,0,1,0
13303,25,22,39,8,0,1,0
13304,25,22,38,4,2,1,0
13305,23,22,36,10,0,1,0
13306,24,20,34,6,1,1,0
13307,25,21,33,7,1,1,0
13308,24,21,32,5,0,1,0
13309,25,23,34,9,1,1,0
13310,24,22,32,11,1,0,0
13311,3,12,18,3,2,0,0
13312,25,20,33,10,1,0,0
13313,24,15,34,7,2,1,0
13314,20,15,35,8,3,0,0
13315,24,17,37,7,2,0,0
13316,25,19,37,3,2,0,1
13317,21,22,36,11,0,1,0
13318,23,22,33,6,0,1,0
13319,19,18,34,,,0,0
13320,25,25,39,7,1,0,0
13321,24,21,36,13,2,0,0
13322,22,21,40,6,1,1,0
13323,22,19,36,4,2,1,0
13324,24,22,31,7,1,1,0
13325,18,15,33,5,3,0,0
13326,22,20,32,6,1,0,0
13401,24,13,33,4,1,0,0
13402,25,16,29,2,3,0,0
13403,25,22,28,5,2,1,0
13404,21,21,33,5,3,0,0
13405,24,17,28,9,2,1,0
13406,25,16,29,6,2,0,0
13407,25,20,36,9,2,1,0
13408,23,15,28,9,2,0,0
13409,25,17,30,6,1,1,0
13410,25,18,32,6,2,1,0
13411,25,22,33,,,0,0
13412,25,24,33,6,0,0,0
13413,25,19,29,9,1,1,0
13414,25,23,36,9,1,1,0
13415,22,19,32,8,1,0,0
13416,25,16,30,7,1,1,0
13417,25,26,41,4,1,0,1
13418,24,15,29,2,1,0,0
13419,24,19,31,4,2,0,0
13420,25,21,37,6,3,0,0
13421,25,17,31,7,3,0,0
13422,24,24,35,4,1,0,1
13423,22,10,19,6,4,0,0
13424,25,20,34,5,0,1,0
13425,24,16,28,8,2,1,0
13426,25,22,33,10,0,0,0
13501,24,18,30,11,2,0,0
13502,25,22,36,10,3,0,0
13503,21,20,35,7,0,1,0
13504,21,20,31,7,0,1,0
13505,23,23,38,6,0,0,0
13506,24,18,27,5,3,0,0
13507,24,26,39,7,0,0,0
13508,22,21,34,6,2,1,0
13509,22,20,32,7,1,0,0
13510,25,22,38,6,2,0,1
13511,24,18,35,3,4,0,1
13512,25,19,31,8,0,1,0
13513,20,19,28,7,4,0,0
13514,22,21,36,7,1,1,0
13515,25,19,33,7,1,1,0
13516,24,18,28,5,3,1,0
13517,22,21,32,10,2,0,0
13518,23,16,34,9,1,0,0
13519,23,15,32,7,2,1,0
13520,25,23,38,9,1,1,0
13521,22,18,34,7,0,1,0
13522,25,25,40,12,2,1,0
13523,25,20,32,5,0,1,0
13524,20,19,32,11,7,0,0
13525,24,16,36,,,0,0
13526,19,11,26,,,0,0
13601,25,14,31,4,2,0,1
13602,25,22,33,6,1,1,0
13603,24,22,38,4,3,0,1
13604,24,24,38,,,0,0
13605,23,21,33,6,1,1,0
13606,25,21,26,6,2,0,1
13607,25,28,39,9,0,1,0
13608,25,24,41,8,0,0,0
13609,25,17,34,10,3,1,0
13610,22,15,31,8,2,1,0
13611,20,20,27,4,2,0,1
13612,25,23,34,7,2,0,1
13613,25,13,38,4,3,0,1
13614,25,24,35,7,1,0,1
13615,25,22,32,7,1,0,0
13616,25,22,33,6,2,1,0
13617,24,25,35,8,0,1,0
13618,23,23,37,8,1,1,0
13619,25,10,30,6,1,0,1
13620,24,17,28,3,2,0,1
13621,23,22,33,2,2,0,1
13622,25,20,39,8,1,1,0
13623,3,5,6,,,0,0
13624,25,22,35,4,2,0,1
13625,25,23,19,2,2,0,1
13626,23,21,33,3,2,0,1
