학번(개인코드),3R's셈하기점수,KISE-KIT점수,K-WISC점수,SA보드(2),SA보드(3)
13201,23,22,35,11,16
13202,22,17,29,16,23
13203,24,21,32,19,29
13204,22,14,30,11,17
13205,24,18,29,1,4
13206,25,22,28,18,26
13207,25,15,33,19,28
13208,24,22,38,12,19
13209,24,18,34,12,17
13210,24,22,38,12,19
13211,24,21,30,4,7
13212,23,14,31,8,13
13213,25,19,34,16,23
13214,25,24,33,10,15
13215,15,13,17,4,7
13216,23,23,37,16,25
13217,24,19,34,19,28
13218,24,19,35,12,18
13219,19,20,29,7,12
13220,23,19,32,19,29
13221,25,19,36,16,23
13222,23,21,35,13,20
13223,24,20,31,20,29
13224,22,18,19,4,7
13225,25,21,27,16,23
13226,22,16,31,22,32
13301,23,18,34,14,22
13302,18,11,39,18,27
13303,25,22,39,12,17
13304,25,22,38,18,26
13305,23,22,36,8,12
13306,24,20,34,22,32
13307,25,21,33,13,19
13308,24,21,32,15,22
13309,25,23,34,12,17
13310,24,22,32,19,28
13311,3,12,18,21,32
13312,25,20,33,4,7
13313,24,15,34,19,29
13314,20,15,35,14,21
13315,24,17,37,13,21
13316,25,19,37,12,19
13317,21,22,36,6,9
13318,23,22,33,24,35
13319,19,18,34,14,20
13320,25,25,39,0,0
13321,24,21,36,13,20
13322,22,21,40,24,37
13323,22,19,36,13,19
13324,24,22,31,8,12
13325,18,15,33,15,22
13326,22,20,32,7,12
13401,24,13,33,11,17
13402,25,16,29,7,11
13403,25,22,28,1,3
13404,21,21,33,10,15
13405,24,17,28,7,12
13406,25,16,29,18,27
13407,25,20,36,10,16
13408,23,15,28,18,27
13409,25,17,30,16,25
13410,25,18,32,13,19
13411,25,22,33,12,18
13412,25,24,33,0,0
13413,25,19,29,12,18
13414,25,23,36,19,28
13415,22,19,32,19,28
13416,25,16,30,15,23
13417,25,26,41,15,22
13418,24,15,29,9,13
13419,24,19,31,3,5
13420,25,21,37,6,10
13421,25,17,31,9,15
13422,24,24,35,11,18
13423,22,10,19,9,13
13424,25,20,34,8,14
13425,24,16,28,12,17
13426,25,22,33,16,24
13501,24,18,30,20,30
13502,25,22,36,20,31
13503,21,20,35,17,27
13504,21,20,31,16,23
13505,23,23,38,16,23
13506,24,18,27,12,18
13507,24,26,39,7,12
13508,22,21,34,14,21
13509,22,20,32,12,18
13510,25,22,38,13,20
13511,24,18,35,12,18
13512,25,19,31,4,7
13513,20,19,28,18,26
13514,22,21,36,10,17
13515,25,19,33,15,22
13516,24,18,28,15,22
13517,22,21,32,9,14
13518,23,16,34,18,28
13519,23,15,32,17,26
13520,25,23,38,14,21
13521,22,18,34,19,28
13522,25,25,40,16,23
13523,25,20,32,24,36
13524,20,19,32,12,17
13525,24,16,36,15,26
13526,19,11,26,0,0
13601,25,14,31,0,0
13602,25,22,33,8,12
13603,24,22,38,13,19
13604,24,24,38,7,11
13605,23,21,33,0,0
13606,25,21,26,13,19
13607,25,28,39,12,18
13608,25,24,41,20,29
13609,25,17,34,16,24
13610,22,15,31,19,29
13611,20,20,27,16,24
13612,25,23,34,8,12
13613,25,13,38,14,21
13614,25,24,35,7,11
13615,25,22,32,15,22
13616,25,22,33,13,20
13617,24,25,35,12,18
13618,23,23,37,18,26
13619,25,10,30,17,25
13620,24,17,28,13,19
13621,23,22,33,6,9
13622,25,20,39,4,6
13623,3,5,6,17,25
13624,25,22,35,0,0
13625,25,23,19,8,12
13626,23,21,33,4,6
,,,,6,9
