학번(개인코드),3R's셈하기점수,KISE-KIT점수,K-WISC점수,SA보드점수
13201,23,22,35,23
13202,22,17,29,31
13203,24,21,32,28
13204,22,14,30,16
13205,24,18,29,2
13206,25,22,28,34
13207,25,15,33,35
13208,24,22,38,17
13209,24,18,34,25
13210,24,22,38,17
13211,24,21,30,5
13212,23,14,31,11
13213,25,19,34,31
13214,25,24,33,21
13215,15,13,17,5
13216,23,23,37,23
13217,24,19,34,35
13218,24,19,35,18
13219,19,20,29,9
13220,23,19,32,28
13221,25,19,36,31
13222,23,21,35,19
13223,24,20,31,37
13224,22,18,19,5
13225,25,21,27,31
13226,22,16,31,40
13301,23,18,34,20
13302,18,11,39,27
13303,25,22,39,25
13304,25,22,38,34
13305,23,22,36,18
13306,24,20,34,40
13307,25,21,33,26
13308,24,21,32,29
13309,25,23,34,25
13310,24,22,32,35
13311,3,12,18,31
13312,25,20,33,5
13313,24,15,34,28
13314,20,15,35,27
13315,24,17,37,18
13316,25,19,37,17
13317,21,22,36,20
13318,23,22,33,43
13319,19,18,34,28
13320,25,25,39,19
13321,24,21,36,35
13322,22,21,40,26
13323,22,19,36,18
13324,24,22,31,29
13325,18,15,33,9
13326,22,20,32,16
13401,24,13,33,10
13402,25,16,29,0
13403,25,22,28,21
13404,21,21,33,9
13405,24,17,28,33
13406,25,16,29,14
13407,25,20,36,33
13408,23,15,28,23
13409,25,17,30,26
13410,25,18,32,24
13411,25,22,33,0
13412,25,24,33,18
13413,25,19,29,35
13414,25,23,36,35
13415,22,19,32,22
13416,25,16,30,29
13417,25,26,41,25
13418,24,15,29,4
13419,24,19,31,8
13420,25,21,37,12
13421,25,17,31,15
13422,24,24,35,25
13423,22,10,19,10
13424,25,20,34,25
13425,24,16,28,30
13426,25,22,33,30
13501,24,18,30,29
13502,25,22,36,24
13503,21,20,35,31
13504,21,20,31,31
13505,23,23,38,18
13506,24,18,27,9
13507,24,26,39,21
13508,22,21,34,24
13509,22,20,32,19
13510,25,22,38,29
13511,24,18,35,16
13512,25,19,31,34
13513,20,19,28,13
13514,22,21,36,29
13515,25,19,33,29
13516,24,18,28,19
13517,22,21,32,26
13518,23,16,34,25
13519,23,15,32,27
13520,25,23,38,35
13521,22,18,34,31
13522,25,25,40,42
13523,25,20,32,25
13524,20,19,32,19
13525,24,16,36,0
13526,19,11,26,0
13601,25,14,31,23
13602,25,22,33,26
13603,24,22,38,21
13604,24,24,38,0
13605,23,21,33,26
13606,25,21,26,29
13607,25,28,39,37
13608,25,24,41,24
13609,25,17,34,34
13610,22,15,31,30
13611,20,20,27,23
13612,25,23,34,32
13613,25,13,38,21
13614,25,24,35,34
13615,25,22,32,19
13616,25,22,33,24
13617,24,25,35,34
13618,23,23,37,32
13619,25,10,30,31
13620,24,17,28,20
13621,23,22,33,17
13622,25,20,39,32
13623,3,5,6,0
13624,25,22,35,23
13625,25,23,19,17
13626,23,21,33,20
,,,,6
