학번(개인코드)	3R's셈하기점수	KISE-KIT점수	K-WISC점수	SA보드점수
13201	23	22	35	29.8
13202	22	17	29	33.9
13203	24	21	32	32.8
13204	22	14	30	28
13205	24	18	29	17.6
13206	25	22	28	35.1
13207	25	15	33	34.6
13208	24	22	38	27.5
13209	24	18	34	31.5
13210	24	22	38	27.5
13211	24	21	30	22.7
13212	23	14	31	25.1
13213	25	19	34	33.9
13214	25	24	33	28.1
13215	15	13	17	22.7
13216	23	23	37	29.9
13217	24	19	34	34.6
13218	24	19	35	29.7
13219	19	20	29	23.4
13220	23	19	32	32.8
13221	25	19	36	33.9
13222	23	21	35	29.2
13223	24	20	31	36.3
13224	22	18	19	22.7
13225	25	21	27	33.9
13226	22	16	31	37.5
13301	23	18	34	33.3
13302	18	11	39	31.5
13303	25	22	39	35.1
13304	25	22	38	26.9
13305	23	22	36	37.5
13306	24	20	34	31
13307	25	21	33	32.2
13308	24	21	32	31.5
13309	25	23	34	34.6
13310	24	22	32	34
13311	3	12	18	22.7
13312	25	20	33	32.8
13313	24	15	34	30.5
13314	20	15	35	28.5
13315	24	17	37	29
13316	25	19	37	25
13317	21	22	36	41
13318	23	22	33	33.5
13319	19	18	34	
13320	25	25	39	31
13321	24	21	36	38
13322	22	21	40	31.5
13323	22	19	36	26.5
13324	24	22	31	33
13325	18	15	33	24
13326	22	20	32	29.5
13401	24	13	33	26.5
13402	25	16	29	19.5
13403	25	22	28	28
13404	21	21	33	24
13405	24	17	28	34
13406	25	16	29	27.5
13407	25	20	36	34
13408	23	15	28	32
13409	25	17	30	31.5
13410	25	18	32	29.5
13411	25	22	33	
13412	25	24	33	31.5
13413	25	19	29	36
13414	25	23	36	36
13415	22	19	32	32.5
13416	25	16	30	33
13417	25	26	41	28.5
13418	24	15	29	23.5
13419	24	19	31	24.5
13420	25	21	37	25.5
13421	25	17	31	27
13422	24	24	35	28.5
13423	22	10	19	23.5
13424	25	20	34	32
13425	24	16	28	32.5
13426	25	22	33	37.5
13501	24	18	30	35
13502	25	22	36	31.5
13503	21	20	35	35
13504	21	20	31	35
13505	23	23	38	31.5
13506	24	18	27	24
13507	24	26	39	33
13508	22	21	34	29.5
13509	22	20	32	31
13510	25	22	38	29.5
13511	24	18	35	21
13512	25	19	31	36.5
13513	20	19	28	25
13514	22	21	36	33
13515	25	19	33	33
13516	24	18	28	26
13517	22	21	32	33.5
13518	23	16	34	34
13519	23	15	32	31
13520	25	23	38	36
13521	22	18	34	35
13522	25	25	40	38.5
13523	25	20	32	32
13524	20	19	32	25
13525	24	16	36	
13526	19	11	26	
13601	25	14	31	26.5
13602	25	22	33	31.5
13603	24	22	38	24.5
13604	24	24	38	
13605	23	21	33	31.5
13606	25	21	26	29.5
13607	25	28	39	38
13608	25	24	41	34.5
13609	25	17	34	33.5
13610	22	15	31	32.5
13611	20	20	27	26.5
13612	25	23	34	31
13613	25	13	38	24.5
13614	25	24	35	33
13615	25	22	32	31
13616	25	22	33	29.5
13617	24	25	35	36.5
13618	23	23	37	34.5
13619	25	10	30	31.5
13620	24	17	28	25
13621	23	22	33	23.5
13622	25	20	39	34.5
13623	3	5	6	
13624	25	22	35	26.5
13625	25	23	19	23.5
13626	23	21	33	25
23101	17	17	32	
23102	23	22	37	32.5
23103	25	17	29	27
23104	25	20	33	
23105	22	22	36	28
23106	22	2	2	
23107	0	19	29	26
23108	22	12	26	21.5
23109	23	16	29	25.4
